Customer_ID,Age,Employment_Type,Income,Loan_Amount,Loan_Term_Months,Interest_Rate,Credit_Score,Default_Status
1,35,Unemployed,142352,69315,17,13.557474347366925,415,1
2,23,Self Employed,196285,471944,39,19.910985349801095,404,0
3,30,Self Employed,173133,462581,41,17.780643227980086,551,0
4,37,Self Employed,58805,497168,18,18.304138368816012,659,1
5,36,Salaried,181066,275366,57,19.548394241870355,461,0
6,46,Salaried,190220,69509,25,11.76380932523376,394,1
7,45,Unemployed,81892,144834,59,11.999873832993481,338,0
8,64,Self Employed,116215,288998,54,14.528574230273497,829,1
9,46,Unemployed,193990,495646,17,10.596268546705055,643,0
10,55,Self Employed,72966,314474,42,19.17825780178744,697,1
11,58,Salaried,183325,356340,42,14.18319858728632,788,0
12,66,Self Employed,127363,159917,19,17.951727214341194,475,1
13,51,Salaried,138670,470967,26,14.956712187128119,734,0
14,28,Self Employed,103095,443042,24,18.43269309115366,494,1
15,49,Salaried,56842,323075,46,18.969687037730445,842,0
16,21,Unemployed,141473,320201,24,17.15211877671359,576,1
17,46,Self Employed,102046,199111,51,13.482590630268696,589,0
18,54,Unemployed,177633,306156,35,19.490573607768265,530,1
19,35,Self Employed,177428,90398,35,15.896772976644304,649,0
20,50,Unemployed,128668,153644,55,15.361002178819529,733,1
21,48,Unemployed,91107,269982,49,15.588583861326107,695,1
22,55,Self Employed,102508,90603,46,18.096180670140512,380,1
23,54,Salaried,94515,48227,19,16.390295939694994,727,1
24,28,Self Employed,96626,29609,31,19.238234969959663,427,0
25,49,Self Employed,109208,451054,12,18.712477281961263,774,0
26,27,Salaried,160294,497063,40,10.98081042143831,483,1
27,21,Salaried,118049,104829,54,18.534406935833342,569,0
28,51,Unemployed,139847,250132,25,16.64103303150854,342,0
29,41,Salaried,53453,481227,47,16.20583764583347,745,0
30,33,Self Employed,73302,24788,57,17.07510644462038,654,1
31,56,Salaried,39428,89058,29,11.377035667864595,808,1
32,40,Salaried,68495,440256,21,11.430409529979395,757,1
33,29,Salaried,133662,157237,16,17.449090895620117,667,0
34,44,Salaried,32678,404905,16,13.30180845170463,462,0
35,50,Unemployed,193804,425167,32,11.098125296835775,416,0
36,25,Salaried,100629,98542,15,11.45690674444081,493,0
37,23,Unemployed,54631,293056,27,17.637346888396557,530,0
38,21,Self Employed,49018,84998,17,17.164204721968808,577,1
39,61,Self Employed,40541,490520,34,18.88369780780249,788,0
40,34,Unemployed,171867,178517,49,18.680711025119002,454,1
41,52,Salaried,191974,495849,14,11.61872183930757,492,0
42,39,Salaried,23132,122015,26,16.510097854382856,547,1
43,34,Salaried,181581,418843,41,12.022925082804935,404,0
44,21,Salaried,173546,380545,22,13.420215931148533,480,1
45,37,Unemployed,46326,38172,59,16.921247928378364,512,0
46,61,Salaried,91730,442624,49,16.048110617569716,679,0
47,33,Salaried,157394,286206,31,17.66670102340356,704,1
48,28,Unemployed,125070,294219,27,10.60646514058855,618,1
49,41,Salaried,158235,184943,47,13.439100832203,587,1
50,69,Salaried,63585,464242,56,11.12812721763736,317,1
51,54,Self Employed,159862,465445,33,19.420110095547646,694,1
52,65,Salaried,112621,186775,42,19.200369697840124,618,0
53,33,Salaried,157649,84849,26,13.548942318953852,348,1
54,44,Self Employed,110838,356155,28,17.452964152837847,840,1
55,29,Unemployed,81856,239414,43,17.160692086263168,504,1
56,53,Salaried,147929,70330,13,18.110613017527612,531,0
57,46,Unemployed,120295,93868,47,16.74648342199889,429,0
58,47,Self Employed,91505,220364,34,19.295043960674068,462,1
59,37,Salaried,142080,212765,49,12.90569026360207,493,1
60,30,Salaried,128132,354630,22,19.836774512218554,746,0
61,26,Self Employed,181628,471744,14,10.528211160646475,546,1
62,26,Salaried,101677,409214,34,18.30918778869472,348,1
